event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
9622,2019-01-15 13:59:49,1.5,OGS,None,36.21833333,-97.57133333,5.0,0.14,0.14,0.7,None,Oklahoma,Logan,Reviewed
9623,2019-01-15 14:04:06,1.7,OGS,None,36.21766667,-97.57833333,5.0,0.21,0.21,0.8,None,Oklahoma,Logan,Reviewed
9624,2019-01-15 19:22:47,1.5,OGS,None,34.86733333,-97.3845,6.07,0.57,0.57,1.1,None,Oklahoma,Garvin,Reviewed
4759,2019-01-15 22:59:00,2.6,OGS,None,36.68316667,-95.38133333,0.0,0.78,0.78,0.7,None,Oklahoma,Rogers,Preliminary
9625,2019-01-15 23:02:25,1.5,OGS,None,36.22033333,-97.57366667,5.0,0.21,0.21,0.7,None,Oklahoma,Logan,Reviewed
9627,2019-01-16 03:34:30,4.0,USGS,None,37.05666667,-97.37333333,7.69,0.35,0.35,0.6,None,Kansas,Sumner,Reviewed
9628,2019-01-16 03:41:00,2.0,OGS,None,37.05683333,-97.3785,8.53,0.42,0.42,2.8,None,Kansas,Sumner,Reviewed
9629,2019-01-16 03:58:32,1.9,OGS,None,37.04866667,-97.38666667,4.87,0.49,0.49,0.9,None,Kansas,Sumner,Reviewed
9053,2019-01-16 04:35:34,1.5,OGS,None,35.26416667,-97.87,5.96,0.28,0.28,0.7,None,Oklahoma,Grady,Reviewed
9630,2019-01-16 04:55:19,2.1,OGS,None,35.6305,-97.14433333,7.8,0.14,0.14,0.5,None,Oklahoma,Oklahoma,Reviewed
9631,2019-01-16 08:54:51,1.9,OGS,None,37.04883333,-97.37283333,4.22,0.35,0.35,0.7,None,Kansas,Sumner,Reviewed
9632,2019-01-16 09:10:45,0.7,OGS,None,36.96216667,-97.839,5.19,0.42,0.42,2.3,None,Oklahoma,Grant,Reviewed
9633,2019-01-16 09:22:47,0.6,OGS,None,36.423,-96.92066667,4.1,0.21,0.21,0.9,None,Oklahoma,Pawnee,Reviewed
9636,2019-01-16 11:07:45,1.7,OGS,None,36.27766667,-97.505,5.0,0.14,0.14,0.6,None,Oklahoma,Noble,Reviewed
10442,2019-01-16 11:42:56,2.3,OGS,None,35.262,-97.86966667,7.16,0.14,0.14,0.3,None,Oklahoma,Grady,Reviewed
9637,2019-01-16 15:20:07,1.5,OGS,None,36.20933333,-97.54733333,7.14,0.21,0.21,0.6,None,Oklahoma,Logan,Reviewed
9638,2019-01-16 16:01:14,1.6,OGS,None,37.0485,-97.38516667,4.43,0.57,0.57,0.9,None,Kansas,Sumner,Reviewed
4758,2019-01-16 17:22:39,2.3,OGS,None,36.20716667,-95.85316667,0.0,0.49,0.49,0.5,None,Oklahoma,Tulsa,Preliminary
4748,2019-01-16 18:49:19,2.3,OGS,None,37.36898041,-97.98325348,3.06,2.0,1.55,1.51,0.30694236,Kansas,Harper,Preliminary
9055,2019-01-16 21:30:42,1.4,OGS,None,35.259,-97.87366667,7.3,0.35,0.35,0.6,None,Oklahoma,Grady,Reviewed
4771,2019-01-16 22:52:35,2.8,OGS,None,36.67733333,-95.37366667,0.0,0.64,0.64,0.6,None,Oklahoma,Rogers,Preliminary
9654,2019-01-17 02:06:53,0.9,OGS,None,36.95683333,-98.07433333,5.0,0.49,0.49,2.0,None,Kansas,Harper,Reviewed
9655,2019-01-17 08:14:14,0.4,OGS,None,36.431,-96.9255,3.95,0.21,0.21,0.7,None,Oklahoma,Pawnee,Reviewed
9057,2019-01-17 09:25:00,1.6,OGS,None,35.08083333,-97.69116667,6.98,0.28,0.28,0.6,None,Oklahoma,McClain,Reviewed
9663,2019-01-17 20:02:33,0.7,OGS,None,36.451,-96.88583333,2.39,0.14,0.14,1.5,None,Oklahoma,Pawnee,Reviewed
9664,2019-01-17 20:15:24,1.8,OGS,None,36.69833333,-98.427,5.0,0.28,0.28,0.7,None,Oklahoma,Alfalfa,Reviewed
9666,2019-01-17 21:16:30,1.7,OGS,None,36.36333333,-98.15683333,6.17,0.21,0.21,0.5,None,Oklahoma,Alfalfa,Reviewed
9668,2019-01-18 02:23:14,1.1,OGS,None,36.68881226,-97.68513489,3.83,3.03,2.51,3.39,0.76959859,Oklahoma,Grant,Reviewed
9669,2019-01-18 03:00:12,1.3,OGS,None,36.30854797,-97.49636078,3.79,1.95,1.46,2.4,0.36552805,Oklahoma,Noble,Reviewed
9058,2019-01-18 06:16:13,1.5,OGS,None,35.30183333,-97.93933333,5.91,0.49,0.49,0.9,None,Oklahoma,Grady,Reviewed
4783,2019-01-18 06:33:49,2.1,OGS,None,37.05048752,-97.36959839,12.71,5.16,3.28,5.51,0.55719721,Kansas,Sumner,Preliminary
9082,2019-01-18 08:22:33,1.1,OGS,None,35.29416667,-97.94333333,6.77,1.27,1.27,1.5,None,Oklahoma,Grady,Reviewed
9670,2019-01-18 08:31:19,1.9,OGS,None,36.075,-97.55683333,7.62,0.14,0.14,0.6,None,Oklahoma,Logan,Reviewed
9671,2019-01-18 14:41:50,2.2,OGS,None,36.786,-98.325,4.55,0.21,0.21,0.6,None,Oklahoma,Alfalfa,Reviewed
10445,2019-01-18 15:17:30,2.5,OGS,None,35.27966667,-97.94716667,8.78,0.28,0.28,1.6,None,Oklahoma,Grady,Reviewed
9947,2019-01-18 22:07:05,2.0,OGS,None,36.81883333,-97.713,7.12,0.21,0.21,0.5,None,Oklahoma,Grant,Reviewed
9948,2019-01-19 19:02:14,2.1,OGS,None,36.073,-97.56083333,7.98,0.14,0.14,0.5,None,Oklahoma,Logan,Reviewed
