,API,Lease_Name,Production_type,Production_Status,Drilling_Type,First_Production_Day,Cum_Oil,Cum_Gas,Cum_water,Lat,Long,Lateral Length,Spud_Date,Completion_Date,Well_Number,Upper_Perforation,Lower_Perforation,Reservoir,operator ,Cum_BOE
413,4230133936,WEBER 26 SWD 2,OIL,Active,V,9/1/2018,20640.0,28152.0,0.0,31.84223366,-103.4792099,7116.0,5/29/2018,9/6/2018,2,0,0,,"ROSEHILL OPERATING COMPANY, LLC",25332.0
414,4230133929,ORION B 5 3H,OIL,Active,H,8/1/2018,63992.0,467107.0,258304.0,31.95583916,-103.6096344,5053.641602000001,3/30/2018,8/5/2018,3H,0,0,BONE SPRING,"EOG RESOURCES, INC.",141843.1699
415,4230133929,ORION B 5 3H,OIL,Active,H,8/1/2018,63992.0,467107.0,258304.0,31.95583916,-103.6096344,5053.641602000001,3/30/2018,8/5/2018,3H,9353,13759,,"EOG RESOURCES, INC.",141843.1699
416,4230133940,CBR 41-44B 2H,OIL,Active,H,1/1/2019,103083.0,361410.0,0.0,31.91345406,-103.8855057,10813.84668,3/30/2018,1/15/2019,2H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",163318.0
417,4230133940,CBR 41-44B 2H,OIL,Active,H,1/1/2019,103083.0,361410.0,0.0,31.91345406,-103.8855057,10813.84668,3/30/2018,3/31/2019,2H,10907,20813,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",163318.0
418,4230133940,CBR 41-44B 2H,OIL,Active,H,1/1/2019,103083.0,361410.0,0.0,31.91345406,-103.8855057,10813.84668,3/30/2018,1/15/2019,2H,0,0,,"WPX ENERGY PERMIAN, LLC",163318.0
420,4230133939,CBR 41-44A 1H,OIL,Active,H,1/1/2019,77180.0,379568.0,0.0,31.91352272,-103.8855057,10849.91992,3/30/2018,9/21/2018,1H,0,0,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",140441.3398
421,4230133939,CBR 41-44A 1H,OIL,Active,H,1/1/2019,77180.0,379568.0,0.0,31.91352272,-103.8855057,10849.91992,3/30/2018,3/25/2019,1H,10720,20645,WOLFCAMP,"WPX ENERGY PERMIAN, LLC",140441.3398
422,4230133939,CBR 41-44A 1H,OIL,Active,H,1/1/2019,77180.0,379568.0,0.0,31.91352272,-103.8855057,10849.91992,3/30/2018,1/12/2019,1H,0,0,,"WPX ENERGY PERMIAN, LLC",140441.3398
423,4230133937,UNIVERSITY 19 PW UNIT 2204H,OIL,Active,H,9/1/2018,61209.0,69510.0,295539.0,31.65756416,-103.37514499999999,6693.178223,5/29/2018,9/11/2018,2204H,11833,18641,WOLFCAMP,SHELL WESTERN E&P,72794.0
