,Name,Api,Field - Aliased,County,Status - Aliased,Well Type - Aliased,First Production Date,Spud Date,CUM Oil,CUM Gas,CUM Water,Latitude,Longitude,Latitude,Longitude,Lateral Length,Completion Date,Lease,Current Operator - Reported,field reported,well type-reported,wellbore profile reported,Original Operator - Aliased,Wellbore Profile - Aliased
?,WHEAT TRUST C27-4 LOV 2H,42-301-33605-0000,PHANTOM (WOLFCAMP),LOVING,Active,OIL,,3/28/2018,,,,31.7403717,-103.4946747,31.7403717,-103.4946747,4156.487305,Sat Jan 19 2019 00:00:00 GMT-0600 (Central Standard Time),08-50641 : WHEAT TRUST C27-4 LOV,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),OIL,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,STINGRAY 53-2-25 LOV UNIT 1H,42-301-33563-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,,4/4/2018,,,,31.8112793,-103.5014572,31.8112793,-103.5014572,4788.987305,Fri Nov 16 2018 00:00:00 GMT-0600 (Central Standard Time),08-51384 : STINGRAY 53-2-25 LOV UNIT,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,RUDD DRAW 26-21 2H,42-301-33615-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,1/1/2019,4/11/2018,172729,334240,766071,31.85012436,-103.4653549,31.85012436,-103.4653549,8346.523438,Fri Jan 04 2019 00:00:00 GMT-0600 (Central Standard Time),08-48682 : RUDD DRAW 26-21,COG OPERATING LLC,PHANTOM (WOLFCAMP),,HORIZONTAL,"RSP PERMIAN, LLC",HORIZONTAL
?,STINGRAY 53-2-25 LOV UNIT 3H,42-301-33565-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,,3/28/2018,,,,31.81125832,-103.5013351,31.81125832,-103.5013351,4722.244141,Fri Nov 16 2018 00:00:00 GMT-0600 (Central Standard Time),08-51384 : STINGRAY 53-2-25 LOV UNIT,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),PERMIT,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,BOXWOOD 55-1-12 UNIT 2H,42-301-33580-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,PERMIT,,1/4/2019,,,,31.97813988,-103.7036896,31.97813988,-103.7036896,7923.862793,,,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,BOXWOOD 55-1-12 UNIT 3H,42-301-33581-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,PERMIT,,1/18/2019,,,,31.97814178,-103.7037811,31.97814178,-103.7037811,7902.23584,,,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,BOXWOOD 55-1-12 UNIT 4H,42-301-33582-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,PERMIT,,12/14/2018,,,,31.97814178,-103.7038803,31.97814178,-103.7038803,7930.880371,,,ANADARKO E&P ONSHORE LLC,PHANTOM (WOLFCAMP),,HORIZONTAL,ANADARKO PETROLEUM CORPORATION,HORIZONTAL
?,STINGRAY 53-2-25 LOV UNIT 4H,42-301-33566-0000,PHANTOM (WOLFCAMP),LOVING,Active,PERMIT,,3/25/2018,,,,31.81124687,-103.5012741,31.81124687,-103.5012741,4817.944336,Fri Nov 16 2018 00:00:00 GMT-0600 (Central Standard Time),08-51384 : STINGRAY 53-2-25 LOV UNIT,SHELL WESTERN E&P,PHANTOM (WOLFCAMP),,HORIZONTAL,SHELL OIL COMPANY,HORIZONTAL
?,RUDD DRAW 26-21 4H,42-301-33616-0000,PHANTOM (WOLFCAMP),LOVING,Approved Permit,PERMIT,,8/3/2018,,,,31.8500576,-103.4655991,31.8500576,-103.4655991,8353.776367,Sat Dec 01 2018 00:00:00 GMT-0600 (Central Standard Time),,"RSP PERMIAN, LLC",PHANTOM (WOLFCAMP),PERMIT,HORIZONTAL,"RSP PERMIAN, LLC",HORIZONTAL
?,HANGING H RANCH SWD 1,42-301-33574-0000,"MASON, N. (DELAWARE SAND)",LOVING,Active,INJECTION,,4/15/2018,,,,31.96655655,-103.7412872,31.96655655,-103.7412872,,Thu Jul 05 2018 00:00:00 GMT-0500 (Central Daylight Time),08-50415 : HANGING H RANCH SWD,"MUSTANG SWD OPERATING, LLC","MASON, N. (DELAWARE SAND)",,VERTICAL,"MUSTANG SWD OPERATING, LLC",VERTICAL
